date,session_key,y,x,z,meeting_key,driver_number
2024-04-07T05:26:26.961000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:27.142000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:27.301000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:27.541000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:27.702000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:27.902000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:28.101000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:28.462000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:28.802000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:29.102000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:29.362000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:29.562000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:29.781000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:30.041000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:30.261000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:30.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:30.821000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:31.021000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:31.321000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:31.521000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:31.801000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:31.941000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:32.161000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:32.361000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:32.741000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:32.921000+00:00,9496,-3383,3693,766,1232,1
2024-04-07T05:26:33.422000+00:00,9496,-3383,3693,766,1232,1
