driver,throttle,brake,n_gear,mds_x,mds_y,driver_name
1,92.07911341532031,5.769230769230769,7.451825951825952,-0.5787246275461112,0.1664748913098662,Verstappen
1,91.8139619001688,5.769230769230769,7.440559440559441,-0.5738458976096728,0.16542286802476153,Verstappen
1,91.54881038501729,5.769230769230769,7.42929292929293,-0.5689931317860727,0.16438083779695806,Verstappen
1,88.62935723280549,6.108833695040595,7.41863596173941,-0.5423749289760397,0.18089237640264277,Verstappen
1,82.44307129651955,6.866409452616352,7.40872920183265,-0.486644073115581,0.22162535829557153,Verstappen
1,76.2567853602336,7.623985210192109,7.39882244192589,-0.5409124700021257,-0.16183202789389536,Verstappen
1,70.01717439648469,8.530932668863732,7.386216274147308,-0.45412835074619035,-0.2664091763137317,Verstappen
1,62.28446266377299,13.620287758218797,7.29802668595772,-0.33602865445605634,-0.3594569441560892,Verstappen
1,54.55175093106125,18.70964284757389,7.2098370977681325,-0.15120482309742914,0.4940263150216213,Verstappen
1,46.81903919834951,23.79899793692898,7.121647509578544,-0.15735365674853016,-0.5923399415924262,Verstappen
1,42.2184711839884,26.163491680733063,6.935073547142512,0.05515152835623028,0.6339457201050746,Verstappen
1,39.53199099750822,26.86279238003377,6.688375800444764,0.04351778242249837,-0.6350131251869944,Verstappen
1,36.84551081102803,27.562093079334474,6.441678053747017,0.22951585588080428,0.5934064888067,Verstappen
1,35.613937786351606,26.870830319106165,6.182039225142672,0.3006182568973923,0.5405158922422261,Verstappen
1,39.9595088819227,20.849074297350143,5.872792915896363,0.31151392866506233,0.35154462490038,Verstappen
1,44.30507997749379,14.82731827559412,5.563546606650054,0.32447076615981096,0.16797767663705399,Verstappen
1,48.650651073064914,8.805562253838062,5.254300297403743,0.337248894378699,-0.012884853406482391,Verstappen
1,50.07677571470676,6.928033652171571,5.131621252310907,0.3473334953925923,-0.07367487600125754,Verstappen
1,50.74130562923667,6.131607855745783,5.057611928301584,0.3571477014641035,-0.10876777089468032,Verstappen
1,51.405835543766585,5.335182059319987,4.983602604292259,0.3664059695486462,-0.1456083621360466,Verstappen
1,50.91961391099322,7.00707338638375,4.932876510462718,0.38740777840119034,-0.11243850800428501,Verstappen
1,48.55034429172359,12.718029097339485,4.920250247836455,0.4352500320881019,0.05618216564935624,Verstappen
1,46.18107467245399,18.42898480829516,4.907623985210192,0.49519315609509795,0.19699477600956475,Verstappen
1,43.811805053184386,24.13994051925083,4.89499772258393,0.5530720496158245,0.3358343207320789,Verstappen
1,37.81678187712667,27.806580392787268,4.887622913484982,0.6233627260823454,0.4223847854643644,Verstappen
1,31.69226750261233,31.400208986415844,4.880435656297725,0.7009490130168418,0.5027121932676799,Verstappen
1,25.567753128097916,34.993837580044456,4.873248399110468,0.7790547207560085,0.5772061027876414,Verstappen
1,23.092141574900193,35.040055729710865,4.8601666532701016,0.8020118367795929,0.5751816216322769,Verstappen
1,23.58126356402218,32.20400289365802,4.842295635399084,0.783881123826391,0.5067664001143727,Verstappen
1,24.07038555314416,29.367950057605206,4.824424617528066,0.7670160088568132,0.4367595978360097,Verstappen
1,25.356442408166544,26.020148433941525,4.809554430244085,0.7390946462398029,0.35698955256857856,Verstappen
1,31.623342175066362,19.473916887709947,4.81343943412909,0.6471485840126633,0.20790677667579072,Verstappen
1,37.89024194196611,12.927685341478439,4.817324438014094,0.5587316464397789,0.05966336018396424,Verstappen
1,44.157141708865936,6.381453795246859,4.821209441899097,0.4723975386621814,-0.12273881197709949,Verstappen
1,50.39492404147582,4.012941081906593,4.827345068724379,0.4085523876314192,-0.2038390310782868,Verstappen
1,56.62161401816583,3.235940304905812,4.834338075717386,0.3521599920481477,-0.24448414469612192,Verstappen
1,62.84830399485577,2.45893952790504,4.841331082710393,0.2961177043773261,-0.28606757930880006,Verstappen
1,67.09524957800821,2.580178442247409,4.8479020979020975,0.2592370868334401,-0.3045873971811233,Verstappen
1,66.94276317552182,4.697505559574533,4.853535353535353,0.2609677532751996,-0.27433730661498973,Verstappen
1,66.79027677303542,6.814832676901633,4.859168609168608,0.2648721775622224,-0.23917037614666442,Verstappen
1,66.63779037054903,8.932159794228756,4.864801864801865,0.272237770979212,-0.19937973472184337,Verstappen
1,57.28189052326977,12.878118050531853,4.865384615384615,0.37712183999624277,0.050848016723473416,Verstappen
1,46.86405835543765,17.035072207485992,4.865384615384615,0.49218658121839565,0.16047503785872033,Verstappen
1,36.446226187605404,21.19202636444018,4.865384615384615,0.6012280288664194,0.2571269254335124,Verstappen
1,28.931228732952825,21.7854941992873,4.862665112665113,0.6689908275270626,0.26638113129785673,Verstappen
1,24.526411328135403,18.56094097473404,4.857031857031856,0.6879579776444757,0.19665369982854133,Verstappen
1,20.121593923318024,15.336387750180819,4.851398601398601,0.7139541679934656,0.1274150157368004,Verstappen
1,16.52282104868321,12.129250060284479,4.847091605712295,0.7389518757304468,0.05775351292888278,Verstappen
1,23.80564933151145,9.157222088256525,4.860689119309809,0.6598385248475851,-0.011184831175530133,Verstappen
1,31.088477614339695,6.18519411622857,4.874286632907323,0.5817135492131171,-0.090427539150437,Verstappen
1,38.371305897168014,3.213166144200583,4.887884146504836,0.5048615993236356,-0.17127760358250754,Verstappen
1,45.52546687029447,1.7683465959327973,4.89842724325483,0.435059501338357,-0.2153450515877631,Verstappen
1,52.611908206735855,1.1273209549071537,4.9073627521903385,0.36900376567587656,-0.24619842798809985,Verstappen
1,59.69834954317716,0.4862953138815169,4.9162982611258474,0.30446876537585266,-0.28288115693165405,Verstappen
1,65.21845108914076,0.0890871580526799,4.9161843903223215,0.2535221012897225,-0.31495903074852655,Verstappen
1,65.8157704364601,0.45816252712804956,4.887629611767543,0.2569090950121965,-0.3185547553332695,Verstappen
1,66.41308978377944,0.8272378962034191,4.859074833212764,0.2601172774544766,-0.32306300805272337,Verstappen
1,67.0104091310988,1.196313265278793,4.830520054657985,0.26331204619268217,-0.3285838468658662,Verstappen
1,68.14932481311791,5.230688851378549,4.925749537818504,0.23398912630447116,-0.25029980270231666,Verstappen
1,69.40107306486617,10.028668649358375,5.046767408836375,0.21697933444902914,-0.05000247721449346,Verstappen
1,70.65282131661442,14.82664844733815,5.167785279854246,0.20821707294251174,0.12055981685217519,Verstappen
1,74.22552447552451,15.501165501165438,5.375291375291377,0.1367759731189979,0.14660320423972523,Verstappen
1,81.08624708624716,10.334110334110253,5.705322455322459,-0.019404447557299663,0.009628080751461925,Verstappen
1,87.94696969696973,5.167055167055127,6.035353535353537,-0.17983348873945645,-0.07060247339045446,Verstappen
1,94.8076923076923,0.0,6.365384615384615,-0.3474314585301652,-0.12095958082779294,Verstappen
11,96.21153846153847,1.9230769230769231,6.596153846153846,-0.4058774735935196,-0.056143447646451135,Perez
11,96.75796425796426,1.3597513597513597,6.584887334887335,-0.4117274382475919,-0.07107985150706331,Perez
11,97.30439005439005,0.7964257964257964,6.573620823620823,-0.4177359659656625,-0.08614913684521923,Perez
11,97.85081585081585,0.23310023310023298,6.562354312354312,-0.42358123762134753,-0.10005372281627643,Perez
11,97.93037135278514,0.33022533022533046,6.558717144924041,-0.4225684551485272,-0.09987137813448624,Perez
11,97.68037135278514,0.893550893550894,6.560465396672293,-0.41679907580974934,-0.08995666190346274,Perez
11,97.43037135278514,1.4568764568764572,6.5622136484205456,-0.4103935354407461,-0.07861915867369028,Perez
11,97.16945315221177,1.9230769230769231,6.565770436460092,-0.4051309572419133,-0.06825468963687643,Perez
11,96.85612758888621,1.9230769230769231,6.578008198697854,-0.4059876107587544,-0.06339954661502414,Perez
11,96.54280202556065,1.9230769230769231,6.590245960935616,-0.40686348535605826,-0.05918840140234643,Perez
11,96.22947646223508,1.9230769230769231,6.602483723173378,-0.4076977799744779,-0.05511341917234988,Perez
11,96.15384615384616,1.9230769230769231,6.624594753905098,-0.41303053503927484,-0.0509167643671849,Perez
11,96.15384615384616,1.9230769230769231,6.649847279157624,-0.4199906621906988,-0.046976247237348515,Perez
11,96.15384615384616,1.9230769230769231,6.6750998044101495,-0.4268369173356288,-0.04269674413797756,Perez
11,96.15384615384616,1.9230769230769231,6.7039694022452645,-0.4347430526318802,-0.038076874760205895,Perez
11,96.15384615384616,1.9230769230769231,6.7397114379873,-0.4445408561719011,-0.03232753913520356,Perez
11,96.15384615384616,1.9230769230769231,6.775453473729336,-0.45426524408275804,-0.026502595278240663,Perez
11,96.15384615384616,1.9230769230769231,6.811195509471372,-0.46398457191351467,-0.02085478565335891,Perez
11,96.15384615384616,1.9230769230769231,6.925066312997348,-0.4951445801170583,-0.003337545752448472,Perez
11,96.15384615384616,1.9230769230769231,7.044724432655467,-0.5280365368997257,0.014890455869865983,Perez
11,96.15384615384616,1.9230769230769231,7.164382552313587,-0.5607579286392824,0.033700375657801956,Perez
11,96.15384615384616,1.9230769230769231,7.245960935616107,-0.5830484304109522,0.046873009821519554,Perez
11,96.15384615384616,1.9230769230769231,7.2919982316534036,-0.5953813046812854,0.05499577525030758,Perez
11,96.15384615384616,1.9230769230769231,7.3380355276907,-0.607826243106308,0.06305857109554207,Perez
11,96.15384615384616,1.9230769230769231,7.381641347158589,-0.6196232481846286,0.07072145679469594,Perez
11,96.15384615384616,1.9230769230769231,7.404174369691611,-0.6256663307397148,0.07483169481323709,Perez
11,96.15384615384616,1.9230769230769231,7.426707392224634,-0.6316840872105415,0.07898130617990066,Perez
11,96.15384615384616,1.9230769230769231,7.449240414757656,-0.6377100527984146,0.08305959288303431,Perez
11,96.15384615384616,1.9230769230769231,7.457305146960319,-0.6398724244970426,0.08449990728784966,Perez
11,96.15384615384616,1.9230769230769231,7.458859148514321,-0.6402893023543631,0.08477693323799176,Perez
11,96.15384615384616,1.9230769230769231,7.460413150068322,-0.6407063104456164,0.0850534929992132,Perez
11,95.998445998446,2.078477078477079,7.461538461538462,-0.6386666731019242,0.08851554503494612,Perez
11,95.43512043512044,2.641802641802643,7.461538461538462,-0.6301390298718136,0.10062173685374688,Perez
11,94.87179487179488,3.205128205128206,7.461538461538462,-0.6215741303569181,0.11271812423535357,Perez
11,94.3084693084693,3.76845376845377,7.461538461538462,-0.6130579706896621,0.12469917686872892,Perez
11,93.45661522385659,4.331779331779334,7.456682206682207,-0.6012906905476154,0.13689115783458075,Perez
11,92.55859657583795,4.895104895104896,7.451048951048951,-0.5889526939683839,0.14920121371513934,Perez
11,91.6605779278193,5.45843045843046,7.445415695415695,-0.5765939888685825,0.16148127480536564,Perez
11,88.54495217426249,6.692254106047217,7.43978243978244,-0.5428396789976064,0.1943253702371686,Perez
11,82.69996382927414,8.751306165099276,7.4341491841491845,-0.4861324022096849,0.2447078741010557,Perez
11,76.8549754842858,10.810358224151333,7.428515928515929,-0.531965642563447,-0.2210320353537179,Perez
11,70.97336762854,12.841947324705945,7.420946869222731,-0.3627617327648718,0.3635420557930881,Perez
11,64.06641347158588,14.10457358733221,7.35917530745117,-0.37090199990133016,-0.36680627056832976,Perez
11,57.15945931463172,15.36719984995848,7.297403745679608,-0.29776967458381687,-0.4140459935604177,Perez
11,50.252505157677554,16.62982611258475,7.235632183908046,-0.13758080637318015,0.4889201361572444,Perez
11,45.47950325536531,19.242826139377897,7.084760067518688,-0.048542315711928886,0.5231813303770028,Perez
11,42.010583286445325,22.681054577606343,6.879437612196233,-0.0554645760829242,-0.5607248057814079,Perez
11,38.54166331752535,26.11928301583479,6.6741151568737775,0.14879264555385258,0.5987769203561626,Perez
11,36.036693191865595,27.909733944216704,6.456132947512258,0.1659411995629245,-0.644458486794368,Perez
11,37.22686413203653,23.38370441818718,6.189621681000991,0.2071660696986088,-0.5165976589045211,Perez
11,38.417035072207476,18.85767489215765,5.923110414489724,0.3005447412416311,0.3244733879760867,Perez
11,39.60720601237842,14.331645366128098,5.656599147978456,0.3384039350936077,0.18744004953977547,Perez
11,38.337801087801076,11.715966026310845,5.481599817806713,0.38315607095591697,0.11064619136477138,Perez
11,36.42676767676768,9.598638908983729,5.330473166680063,0.4332057731624564,0.0433047278974473,Perez
11,34.51573426573427,7.481311791656589,5.17934651555341,0.4821831492943871,-0.018193703834594777,Perez
11,32.08841732979664,8.112290008841734,5.0952696728558795,0.5253725542847619,-0.012748904341456958,Perez
11,28.81627280765209,13.24049513704691,5.120910698496906,0.5630905978578195,0.10638562249134739,Perez
11,25.544128285507576,18.368700265252027,5.1465517241379315,0.6048472836974303,0.2270043051905188,Perez
11,22.27198376336306,23.496905393457144,5.172192749778957,0.6501398340468033,0.3518653914983609,Perez
11,20.78589609624091,25.511748787610887,5.179641239986068,0.6712781082742382,0.400238115784703,Perez
11,19.363596173940994,27.415400691262786,5.1864399967848245,0.6907060527432571,0.44700853335854596,Perez
11,17.941296251641063,29.319052594914705,5.193238753583581,0.7104309058476946,0.49446704319799417,Perez
11,18.11586689172896,28.371915440880983,5.20121640811296,0.7019730855330067,0.4729347074728592,Perez
11,19.587894863756944,25.108512177477692,5.210151917048469,0.6714880619003437,0.3974577862491345,Perez
11,21.05992283578491,21.845108914074437,5.219087425983978,0.6404958705841968,0.32471089012792714,Perez
11,23.05026391233289,18.423626182246885,5.228505211263832,0.607290899752722,0.2444777040629494,Perez
11,28.280061892130906,14.014146772767447,5.240937223695845,0.5420880756809043,0.14036972175869586,Perez
11,33.50985987192886,9.604667363288057,5.253369236127857,0.4788548142069774,0.038516626205522785,Perez
11,38.739657851726875,5.195187953808617,5.265801248559869,0.41936500467724774,-0.05569516395477352,Perez
11,45.00249176111249,3.61305361305361,5.2740133429788605,0.3538456339763788,-0.09513300736657315,Perez
11,51.658863167483936,3.1080031080031025,5.2806178495833676,0.2889066981130488,-0.12289287412456137,Perez
11,58.315234573855314,2.602952602952601,5.287222356187874,0.22563787772823987,-0.15364883230214071,Perez
11,63.74487581384135,2.3269833614661217,5.2949722691102,0.1771055268880752,-0.17591076272230294,Perez
11,66.44845001741557,2.560083594566356,5.3052675294054605,0.1534249627174766,-0.17946711786104383,Perez
11,69.15202422098976,2.793183827666587,5.315562789700721,0.12988920514648558,-0.1832629660121925,Perez
11,71.85559842456398,3.026284060766821,5.325858049995981,0.10639287355120752,-0.1880102548357346,Perez
11,62.565790531307684,3.729603729603741,5.326574766229938,0.1840477249470703,-0.1428655347597925,Perez
11,51.89213085764807,4.487179487179502,5.326186265841438,0.27945887102529937,-0.09297546267509701,Perez
11,41.218471183988335,5.244755244755272,5.325797765452937,0.381105016344222,-0.04841932057404567,Perez
11,33.46349436004605,5.383409693754544,5.323721297859229,0.4592914080450243,-0.03364722163383538,Perez
11,28.8356777322294,4.858934169279007,5.319836293974225,0.5104417586891784,-0.041071242417721046,Perez
11,24.2078611044128,4.334458644803477,5.315951290089221,0.5660251807088006,-0.048881498193773104,Perez
11,20.076882887227757,3.7684537684537545,5.313794443104788,0.6160681544067712,-0.06251530095449619,Perez
