lap,x,y,throttle,brake,n_gear,mds_x,mds_y,driver
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3555017972355157,-0.23819991275473854,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3556523230731132,-0.23737397733292825,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.355581982301595,-0.23776025443762375,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3556776111438849,-0.23723497109136304,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3554950856930663,-0.23823667975395513,
3,3516.0,-2966.0,0.0,100.0,0.0,-1.3556536493353206,-0.2373666887862756,
3,3516.0,-2966.0,0.0,100.0,1.0,-1.2696651103500505,-0.3242411340951611,
3,3516.0,-2966.0,0.0,100.0,1.0,-1.2695263185018009,-0.3247712906955546,
3,3516.0,-2966.0,0.0,100.0,1.0,-1.2695331469970528,-0.32474522834325154,
3,3515.0,-2966.0,0.0,100.0,1.0,-1.2696045966074685,-0.32447239502094616,
3,3515.0,-2966.0,0.0,100.0,1.0,-1.269529651988613,-0.3247585680335751,
3,3515.0,-2965.0,5.655172413792765,100.0,1.0,-1.2374641300163118,-0.33703013452606734,
3,3515.0,-2965.0,16.0,100.0,1.0,-1.1802198114794473,-0.36652579417824077,
3,3631.0,-3101.0,47.79310344827587,0.0,1.0,-0.26428744042544716,0.6218347808624676,
3,4380.379310344824,-3983.0344827586173,100.0,0.0,4.0,0.29850564791116974,0.312500228751914,
3,5528.0,-5333.0,100.0,0.0,6.0,0.3351866540969291,0.07096909316329948,
3,2812.4137931034475,-5363.620689655172,0.0,10.344827586206634,5.0,-0.6524154410767206,0.1962169681890435,
3,2133.275862068967,-4168.379310344831,0.0,0.0,5.0,-0.6248687232037795,0.2752374868625442,
3,1737.0,-888.0,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,1891.0,-1068.0,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,2025.1724137931035,-1224.8620689655172,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,2401.206896551724,-1663.8620689655172,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,2764.4137931034484,-2087.896551724138,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,3061.4827586206898,-2436.1724137931037,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,3300.448275862069,-2715.034482758621,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,3729.4482758620693,-3217.034482758621,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,3873.3448275862065,-3385.7241379310344,100.0,0.0,7.0,0.3582158153441751,-0.04639090177628602,
4,4203.275862068966,-3775.7586206896553,100.0,0.0,8.0,0.38709490742978386,-0.1616215912932497,
4,4601.413793103448,-4244.103448275862,100.0,0.0,8.0,0.38709490742978386,-0.1616215912932497,
4,4920.068965517242,-4617.5862068965525,100.0,0.0,8.0,0.38709490742978386,-0.1616215912932497,
4,5262.896551724138,-5020.413793103448,100.0,0.0,8.0,0.38709490742978386,-0.1616215912932497,
4,5494.689655172414,-5294.206896551725,34.48275862068948,0.0,8.0,-0.2566316609568418,-0.20124185690171564,
4,5814.551724137931,-5686.275862068966,0.0,100.0,8.0,-0.8210792285760401,-0.8294951509965516,
4,3983.1034482758623,-5791.0,20.758620689655373,0.0,5.0,-0.42984564416724047,0.2123699608487556,
4,3666.0344827586205,-5539.206896551724,45.1724137931035,0.0,5.0,-0.20373661953314448,0.15789477734847937,
4,3339.413793103448,-5446.3448275862065,71.93103448275859,0.0,5.0,0.04556079854730916,0.14782031789529476,
4,3073.4137931034484,-5421.275862068966,0.0,0.0,5.0,-0.6248687232073235,0.2752374868512714,
4,2770.0,-5348.241379310345,5.310344827586217,0.0,5.0,-0.5742987765055064,0.2593112474624933,
4,2507.2758620689656,-5127.862068965517,45.27586206896552,0.0,5.0,-0.20277879148194605,0.15774072370100414,
4,2361.6206896551716,-4858.551724137929,70.37931034482769,0.0,5.0,0.030959128287470567,0.14663952900249475,
4,2267.344827586207,-4552.103448275862,85.48275862068965,0.0,5.0,0.17421867774332467,0.16483455038115558,
4,2158.8275862068967,-4207.275862068966,17.41379310344831,0.0,5.0,-0.46088515266391433,0.2220869248613769,
4,1987.275862068965,-3968.413793103448,8.793103448275955,0.0,5.0,-0.5414493562267864,0.24835148654826333,
4,1792.2758620689647,-3827.724137931034,50.48275862068969,0.0,5.0,-0.154581604790982,0.15086912618550094,
4,1589.7586206896556,-3742.551724137931,63.89655172413792,0.0,5.0,-0.02977340964561188,0.14405437691218634,
4,1386.9999999999998,-3709.896551724138,75.51724137931036,0.0,5.0,0.07940068985137208,0.15125367072545487,
4,1101.8275862068963,-3692.310344827586,85.72413793103449,0.0,5.0,0.1765344688934668,0.16521923866104887,
4,1564.1034482758616,-686.0344827586202,100.0,0.0,6.0,0.33518665409692894,0.07096909316329954,
4,1804.0,-965.0,100.0,0.0,6.0,0.33518665409692894,0.07096909316329954,
5,1919.0,-1100.0,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,2221.689655172414,-1453.6206896551723,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,2383.0,-1643.0,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,2686.0344827586205,-1996.2068965517242,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,2974.896551724138,-2334.241379310345,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,3229.4827586206898,-2632.551724137931,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,3497.6206896551726,-2945.4137931034484,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,3944.0,-3469.0,100.0,0.0,7.0,0.3582158153441751,-0.046390901776285964,
5,4229.0,-3805.0,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,4361.137931034483,-3961.9655172413795,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,4579.0,-4218.0,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,4792.137931034483,-4467.206896551725,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,5080.586206896552,-4805.724137931034,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,5243.551724137931,-4997.448275862069,100.0,0.0,8.0,0.38709490742978414,-0.16162159129325007,
5,5404.172413793103,-5187.724137931034,92.82758620689657,0.0,8.0,0.3167780192346919,-0.17368620921431704,
5,5645.689655172414,-5474.793103448276,0.0,0.0,8.0,-0.6663518236082048,0.029980107401700675,
5,5899.0,-5801.0,0.0,100.0,8.0,-0.8210792329394764,-0.8294951467647814,
5,3537.034482758621,-5488.3448275862065,39.93103448275858,0.0,5.7586206896551735,-0.24514233383302045,0.08425975711752422,
5,3261.7931034482754,-5439.068965517241,66.37931034482745,0.0,5.0,-0.006563658026440201,0.14457037096900077,
5,2954.655172413793,-5410.137931034483,0.0,100.0,5.0,-0.9753017738826824,-0.6060978847156072,
5,2706.448275862069,-5312.448275862069,0.0,6.896551724137723,5.0,-0.6423556515195082,0.2245042716825186,
5,2439.379310344828,-5048.103448275862,53.896551724137915,0.0,5.0,-0.12293407471309646,0.14751816788028752,
5,2317.2413793103447,-4722.448275862069,82.5517241379311,0.0,5.0,0.14618867832883126,0.1603445726443649,
5,2225.6896551724135,-4406.4137931034475,60.37931034482726,0.0,5.0,-0.06259093511758208,0.14428507616613054,
5,2155.0,-4194.0,0.0,0.0,5.0,-0.6248687232074772,0.27523748685077876,
5,1997.0344827586207,-3975.448275862069,0.0,0.0,5.0,-0.6248687232110108,0.27523748683951005,
5,1781.7586206896547,-3821.5862068965516,63.20689655172419,0.0,5.0,-0.036212094708306025,0.1440154627778482,
5,1370.8620689655172,-3708.9655172413795,84.37931034482759,0.0,5.0,0.16364753714167235,0.16310357621201513,
5,1137.241379310343,-3392.655172413802,92.82758620689653,89.65517241379342,5.103448275862066,-0.13125970888974234,-0.8419888513738938,
5,1793.0,-953.0,100.0,0.0,7.0,0.3582158153441752,-0.04639090177628591,
